,5.0,50.0,95.0
1.0,7.428904,7.4844465,7.553053
2.0,7.5359044,7.591447,7.6600533
5.0,7.6773043,7.732847,7.801453
10.0,7.786004,7.841547,7.910153
20.0,7.8976045,7.953147,8.021753
25.0,7.9341044,7.989647,8.058252
50.0,8.051905,8.107447,8.176052
75.0,8.123304,8.178846,8.247452
100.0,8.175505,8.231047,8.299652
150.0,8.252705,8.308247,8.376852
200.0,8.308605,8.364147,8.432753
250.0,8.352404,8.407948,8.476553
300.0,8.389004,8.444548,8.513153
500.0,8.495005,8.550547,8.619152
1000.0,8.649904,8.705448,8.774054
10000.0,9.224905,9.280447,9.349052
